Bank,Internal Title,Person,Fiscal Year,RSSD_ID,Stock Class,Number of Shares,Percentage of Ownership
Bankshares Corporation Of Niceville,Director\nSecretary,james w. powell,2020,,,34801,0.3226
Bankshares Corporation Of Niceville,Director\nChairman,deborah p. dye,2020,,,34225,0.3173
Bankshares Corporation Of Niceville,Director,michael r. floyd,2020,,,8307,0.077
Bankshares Corporation Of Niceville,"Chairman,Director",deborah p. dye,2023,,,34670,0.3214
Bankshares Corporation Of Niceville,Director,michael r. floyd,2023,,,8207,0.0761
Bankshares Corporation Of Niceville,"Secretary,Director",james w. powell,2023,,,34637,0.3211
BankSouth Holding Company,Director,harold reynolds,2015,1134313,,5423,0.3234
BankSouth Holding Company,Director,james reynolds iv,2015,1134313,,2669,0.1592
BankSouth Holding Company,Director & Secretary,frances strickland,2015,1134313,,2978,0.1776
BankSouth Holding Company,Director,harold reynolds,2016,1134313,,5423,0.3234
BankSouth Holding Company,Director,james reynolds iv,2016,1134313,,2669,0.1592
BankSouth Holding Company,Director & Secretary,frances strickland,2016,1134313,,2978,0.1776
BankSouth Holding Company,Chairman,marguerite mcinteer,2017,,,3959,0.23600000000000002
BankSouth Holding Company,Director,harold reynolds,2017,,,5423,0.3234
BankSouth Holding Company,Chairman,harold reynolds,2017,,,5423,0.3234
BankSouth Holding Company,,james reynolds iv,2017,,,2669,0.1592
BankSouth Holding Company,Director & Secretary,frances strickland,2017,,,2978,0.1776
BankSouth Holding Company,Chairman,marguerite mcinteer,2018,,,3959,0.23600000000000002
BankSouth Holding Company,Director,harold reynolds,2018,,,5423,0.3234
BankSouth Holding Company,,james reynolds iv,2018,,,2669,0.1592
BankSouth Holding Company,Director & Secretary,frances strickland,2018,,,2978,0.1776
BankSouth Holding Company,Chairman,marguerite mclnteer,2019,,,3959,0.23600000000000002
BankSouth Holding Company,Chairman,harold reynolds,2019,,,5423,0.3234
BankSouth Holding Company,,james reynolds iv,2019,,,2669,0.1592
BankSouth Holding Company,Director & Secretary,frances strickland,2019,,,2978,0.1776
BankSouth Holding Company,Chairman,marguerite mcinteer,2022,,,2749,0.16390000000000002
BankSouth Holding Company,Director/President & CEO,harold reynolds,2022,,,5141,0.3066
BankSouth Holding Company,,james reynolds iv,2022,,,2669,0.1592
BankSouth Holding Company,Director & Secretary,frances strickland,2022,,,2978,0.1776
Bank of Central Florida Holding Company,Director,wesley l. beck,2016,,Common Stock,148533,0.05
Bank of Central Florida Holding Company,Director,wesley l. beck,2018,,Common Stock,216158,0.08130000000000001
Bank of Central Florida Holding Company,"Chairman,President & CEO",paul j. noris,2018,,Common Stock,273355,0.096
Bank of Central Florida,Director,wesley l. beck,2019,,Common Stock,216158,0.0802
Bank of Central Florida,"Chairman,President & CEO",paul j. noris,2019,,Common Stock,273355,0.0955
BANK OF ERATH HOLDING COMPANY,Director,michael p. broussard,2022,,Confidential,,0.17079999999999998
"Basile Bancshares,Inc.",Chairman of the Board & Director,"burson,i jackson jr",2015,,common stock,164,0.182832
"Basile Bancshares,Inc.","Director,Secretary","johnson,john w",2015,,common stock,170,0.18952100000000002
"Basile Bancshares,Inc.","President,CEO","johnson,william j",2015,,common stock,90,0.10033500000000001
"Basile Bancshares,Inc.",,"vigee,shelva",2015,,common stock,67,0.074693
"Basile Bancshares,Inc.",Chairman of the Board & Director,i jackson jr burson,2019,,common stock,164,0.18510000000000001
"Basile Bancshares,Inc.","Director,President",john w johnson,2019,,common stock,146,0.1648
"Basile Bancshares,Inc.",Director,william j johnson,2019,,common stock,135,0.1524
"Basile Bancshares,Inc.",Director,dave t johnson,2019,,common stock,85,0.0959
"BBVA Compass Bancshares,Inc.",,"banco bilbao vizcaya argentaria,s.a.",2015,,,222950751,1.0
"Beach Community Bancshares,Inc.",Vice Chairman & Director,charles w. clary iii,2014,,Common Stock,214775,0.08650000000000001
"Beach Community Bancshares,Inc.",Vice Chairman & Director,charles w. clary iii,2014,,Common Stock Options,17464,0.006999999999999999
"Beach Community Bancshares,Inc.",,"jbn real estate,inc.",2014,,Common Stock,421289,0.1696
"Beach Community Bancshares,Inc.",Vice Chairman & Director,charles w. clary iii,2015,,Common Stock,214775,0.0894
"Beach Community Bancshares,Inc.",Vice Chairman & Director,charles w. clary iii,2015,,Common Stock Options,4669,0.0019
"Beach Community Bancshares,Inc.",Vice Chairman & Director,charles w. clary iii,2016,,Common Stock,"214,775",0.0894
"Beach Community Bancshares,Inc.",Principal Shareholder,"jbn real estate,inc.",2016,,Common Stock,393105,0.1654
"Beach Community Bancshares,Inc.",Vice Chairman & Director,charles w. clary iii,2017,,Common Stock,"214,775",0.08942
"Beauregard Bancshares,Inc.",Principal Shareholder,marjorie w. green,2021,,Common Stock,10660,0.1
"Beauregard Bancshares,Inc",,"stuart s. kay,jr.",2014,3841839,Common Stock,6654,0.18
"Beauregard Bancshares,Inc.",,"stuart s. kay,jr.",2016,3841839,Common Stock,6654,0.18
"Beauregard Bancshares,Inc","Director,CFO",carroll a. green,2020,,Common Stock,18072,0.29
"Beauregard Bancshares,Inc",Director,carroll a. green,2020,,Common Stock,18072,0.29
"Beauregard Bancshares,Inc",Director,"stuart s. kay,jr.",2020,,Common Stock,6654,0.18
"Beauregard Bancshares,Inc",Principal Shareholder,"stuart s. kay,jr.",2020,,Common Stock,6654,0.18
"BEAUREGARD BANCSHARES,INC",PRESIDENT & CEO,webb stark,2022,,,14528,0.1293
"BEAUREGARD BANCSHARES,INC",SECRETARY-TREASURER,tammy crain,2022,,,11900,0.10619999999999999
Belle Glade Bank Corporation,Principal Shareholder,frances r. hand revocable trust,2022,,,3059,0.191
"Biscayne Bancshares,Inc.",Director,"joel s. lawson,iv",2018,,,87682.00,0.0501
BOA Financial Corporation,,paula b. siegel,2021,,Common Stock,1323,0.24539999999999998
BOA Financial Corporation,President,"michael p. broussard,jr.",2021,,Common Stock,1315,0.2439
BOA Financial Corporation,Chairman of the Board and Chief Executive Officer,michael p. broussard,2021,,Common Stock,921,0.17079999999999998
BOA Financial Corporation,Assistant Vice President Senior Loan Processor,julie b. guillot,2021,,Common Stock,608,0.1128
BOA Financial Corporation,Assistant Vice President,andree b. freeland,2021,,Common Stock,578,0.1072
BOA Financial Corporation,,paula b. siegel,2022,,,,0.24539999999999998
BOA Financial Corporation,President,"michael p. broussard,jr.",2022,,,,0.2439
BOA Financial Corporation,Chairman of the Board,michael p. broussard,2022,,Confidential,,0.17079999999999998
BOA Financial Corporation,Assistant Vice President,julie b. guillot,2022,,Section,,0.1128
BOA Financial Corporation,Assistant Vice President,andree b. freeland,2022,,,,0.1072
BOA Financial Corporation,,paula b. siegel,2023,,Common Stock,1323,0.24539999999999998
BOA Financial Corporation,President,"michael p. broussard,jr.",2023,,Common Stock,1515,0.281
BOA Financial Corporation,Assistant Vice President Senior Loan Processor,julie b. guillot,2023,,Common Stock,778,0.14429999999999998
BOA Financial Corporation,Assistant Vice President,andree b. freeland,2023,,Common Stock,778,0.14429999999999998
"BOE BANCSHARES,INC.","President,Director",claud c. lowe,2014,,Common stock,1978,0.0701
"BOE BANCSHARES,INC.","President,Director",claud c. lowe,2017,1086140,Common stock,1978,0.0701
"BOE BANCSHARES,INC.","President,Director",claud c. lowe,2018,,Common stock,1978,0.0701
"BOE BANCSHARES,INC.","President,Director",claud c. lowe,2019,,Common stock,1978,0.0701
"BOE BANCSHARES,INC.","President,Director",claud c. lowe,2020,,Common stock,1978,0.0701
"BOE BANCSHARES,INC.","President,Director",claud c. lowe,2023,,Common stock,1978,0.0639
THE HIGHLANDS BANK,Director/Chairman,"m. leroy harvey,jr.",2015,"Timberland,499538",,4415,0.1371
THE HIGHLANDS BANK,Director,robert a. connell,2015,499538,common stock,4834,0.1502
THE HIGHLANDS BANK,Pres/CEO/Director,michael l. creed,2015,499538,common stock,2318.141,0.07200000000000001
THE HIGHLANDS BANK,,gayle gillum macdiarmid,2015,499538,,4714,0.1464
BOLC Corp.,Director & Chairman,charles e. gleghorn,2017,,Common Stock,34317,0.2059
BOLC Corp.,Director,hue counts,2017,,Common Stock,25625,0.0521
BOLC Corp.,Director,hue counts,2017,,Common Stock,28217,0.1693
"BOLC,Corp.",Director,hue counts,2018,,Common Stock,25625,0.0542
"BOLC,Corp.",Director,hue counts,2019,,Common Stock,25625,0.0542
"BOLC,Corp.",Director,hue counts,2020,,Common Stock,25625,0.0542
"BOLC,Corp.",Director,hue counts,2021,,Common Stock,25625,0.055099999999999996
Bank of Louisiana,"Director,Chairman & President",g. harrison scott,2014,271136,Common Stock,112703,0.6291
"BOL BANCSHARES,INC",Director,g. harrison scott,2021,271136,Common Stock,118732,0.6628000000000001
"BOL BANCSHARES,INC",Chairman,g. harrison scott,2021,271136,Common Stock,118732,0.6628000000000001
"BOND STREET MANAGEMENT,LLC",Manager,leslie j. lieberman,2014,3948420,Class A shares,379180,0.010903000000000001
"BOND STREET MANAGEMENT,LLC",Director and Executive Vice Chairman,leslie j. lieberman,2014,3948420,Class A shares,379180,0.010903000000000001
BOND STREET INVESTORS LLC,Manager of the Managing Member,leslie j. lieberman,2014,3948420,Class A shares,379180,0.010903000000000001
BOND STREET INVESTORS LLC,Director and Executive Vice Chairman,leslie j. lieberman,2014,3948420,Class A shares,379180,0.010903000000000001
"FCB FINANCIAL HOLDINGS,INC.",Director and Executive Vice Chairman,leslie j. lieberman,2014,3948420,Class A shares,379180,0.010903000000000001
"FCB FINANCIAL HOLDINGS,INC.",Chairman,leslie j. lieberman,2014,3948420,Class A shares,379180,0.010903000000000001
BPC Corporation,Chairman of Board,"jack p. ray,sr.",2017,,Common Shares,100847,0.49999000000000005
BPC Corporation,Chairman of Board,"jack p. ray,sr.",2017,,Non-voting,0,0.0
BPC Corporation,Vice President,"w.t. ray,jr.",2017,,Common Shares,100848,0.49999499999999997
BPC Corporation,Vice President,"w.t. ray,jr.",2017,,Non-voting,907632,0.49999499999999997
B.P.C. Corporation,Chairman of Board,"jack p. ray,sr.",2018,1081613,Common Shares Owned,100847,0.49999000000000005
B.P.C. Corporation,Vice President,"w.t. ray,jr.",2018,1081613,Common Shares Owned,100848,0.49999499999999997
B.P.C. Corporation,Vice President,"w.t. ray,jr.",2018,1081613,Common Shares Owned,907632,0.49999499999999997
Bradley County Financial Corp.,Chairman CEO President,r. scott taylor,2018,144034,,92650,0.34600000000000003
Bradley County Financial Corp.,Chairman CEO President,r. scott taylor,2022,,,96724,0.3293
Bradley County Financial Corp.,Chairman CEO President,r. scott taylor,2023,,,99174,0.3362
"Brand Group Holdings,Inc",Director,patricia morgan thomas,2015,3244113,,2491.5,0.00856
"Brannen Banks of Florida,Inc.",Dir./Chairman,"george h. brannen,ii",2016,,Common,3405.33,0.341
"Brannen Banks of Florida,Inc.",Dir./Chairman,"george h. brannen,ii",2016,,Stock,3405.33,0.341
"Brannen Banks of Florida,Inc.",Dir./Vice Chairman,joseph s. brannen,2016,,Common,3350.76,0.335
"Brannen Banks of Florida,Inc.",Dir./Vice Chairman,joseph s. brannen,2016,,Stock,3350.76,0.335
"Brannen Banks of Florida,Inc.",Director,margaret brannen hagar,2016,,Common,3243.91,0.324
"Brannen Banks of Florida,Inc.",Director,margaret brannen hagar,2016,,Stock,3243.91,0.324
"Brannen Banks of Florida,Inc.",Director/Chairman,joseph s. brannen,2018,,Common,6756.09,0.6759999999999999
"Brannen Banks of Florida,Inc.",Director,margaret brannen hagar,2018,,Common,3243.91,0.324
"Brannen Banks of Florida,Inc.",Director/Chairman and General Counsel,joseph s. brannen,2019,760331,Common,6756.09,0.6759999999999999
"Brannen Banks of Florida,Inc.",Director,margaret brannen hagar,2019,760331,Common,3243.91,0.324
"Brannen Banks of Florida,Inc.",Director/Chairman and General Counsel,joseph s. brannen,2020,,Common,6756.09,0.6759999999999999
"Brannen Banks of Florida,Inc.",Director,margaret brannen hagar,2020,,Common,3243.91,0.324
"Brannen Banks of Florida,Inc.",Director/Chairman and General Counsel,joseph s. brannen,2021,,Common,6756.09,0.6759999999999999
"Brannen Banks of Florida,Inc.",Director,margaret brannen hagar,2021,,Common,3243.91,0.324
"Brannen Banks of Florida,Inc.",Director/Chairman and General Counsel,joseph s. brannen,2022,,,,0.6759999999999999
"Brannen Banks of Florida,Inc.",Director,margaret brannen hagar,2022,,,,0.324
"Brantley Bancorp,Inc.",Chairman,"james h. hollis,jr.",2018,,Common Stock,2289,0.1444
"Brantley Bancorp,Inc.",,"james h. hollis,jr.",2018,,Common Stock,2289,0.1444
"Brantley Bancorp,Inc.",Director,mary jane norris,2018,,Common Stock,838,0.0528
"Brantley Bancorp,Inc.",Director,margaret s. hollis,2018,,Common Stock,2100,0.1325
"Brantley Bancorp,Inc.",,margaret s. hollis,2018,,Common Stock,2100,0.1325
Bankshares Corporation Of Niceville,Director Secretary,james w. powell,2017,483537,,34962,0.32409999999999994
Bankshares Corporation Of Niceville,Director Chairman,deborah p. dye,2017,483537,,34993,0.32439999999999997
Bankshares Corporation Of Niceville,Director,michael r. floyd,2017,483537,,8307,0.077
Bankshares Corporation Of Niceville,Director Secretary,james w. powell,2014,,,30497,0.2827
Bankshares Corporation Of Niceville,President Chairman,deborah p. dye,2014,,,30448,0.2823
Bankshares Corporation Of Niceville,Director,michael r. floyd,2014,,,8307,0.077
BankSouth Holding Company,Chairman,marguerite mclnteer,2014,,,3959,0.23370000000000002
BankSouth Holding Company,Director,harold reynolds,2014,,,5423,0.3201
BankSouth Holding Company,Director,james reynolds iv,2014,,,2669,0.1576
BankSouth Holding Company,Director & Secretary,frances strickland,2014,,,2978,0.17579999999999998
"Birthright,Incorporated",President & CEO,neill s. wright,2014,,Common Stock,1253,0.0916
"Birthright,Incorporated",,"james w. wright irrevocable administrative trust,dated december 18",2014,,"2010,Common Stock",2998,0.2192
Calusa Financial Corporation,"Director,President",todd h. katz,2014,3571015,Common Stock,27500,0.013500000000000002
Calusa Financial Corporation,"Director,President",todd h. katz,2014,3571015,Warrants,34448,0.0167
Calusa Financial Corporation,"Director,President",todd h. katz,2014,3571015,Options,50000,0.024
Calusa Financial Corporation,Director,larry tenbusch,2014,3571015,Common Stock,120000,0.059000000000000004
Calusa Financial Corporation,Director,larry tenbusch,2014,3571015,Warrants,80952,0.0383
BANK OF CAMILLA,"Principal,Shareholder",willene o'neal muggridge asset management trust,2015,,,8484,0.693
"CAMILLA BANCSHARES,INC.",Vice Chairman,david e. wright,2016,,,760,0.062
"CAMILLA BANCSHARES,INC.",Principal,willene o'neal muggridge asset management trust,2016,,,8484,0.693
BANK OF CAMILLA,Vice Chairm,david e. wright,2017,124830,,760,0.062
BANK OF CAMILLA,Executive V,david e. wright,2017,124830,,760,0.062
BANK OF CAMILLA,Director,david e. wright,2017,124830,,760,0.062
BANK OF CAMILLA,Principal,willene o'neal muggridge asset management trust,2017,124830,,8484,0.693
BANK OF CAMILLA,Shareholder,willene o'neal muggridge asset management trust,2017,124830,,8484,0.693
BANK OF CAMILLA,Director,david e. wright,2019,124830,,760,0.062
BANK OF CAMILLA,Principal Shareholder,willene o'neal muggridge asset management trust,2019,,,8484,0.693
BANK OF CAMILLA,Vice Chairman,david e. wright,2020,124830,,760,0.062
Capital Bank Financial Corp.,,"crestview partners ii,gp",2015,4160939,"L.P.,Common Stock",2908760,0.10769999999999999
"Capital City Bank Group,Inc.",Director,estate of robert h. smith,2015,,Common Stock,3053181,0.17800000000000002
"CapStar Financial Holdings,Inc",,"corsair iii financial services capital partners,l.p",2016,,Common Stock,532752,0.0432
"CapStar Financial Holdings,Inc",,"corsair iii financial services capital partners,l.p",2016,,Preferred Stock,878049,0.0712
"CapStar Financial Holdings,Inc",,"corsair iii financial services capital partners,l.p",2016,,Warrants,250000,0.0203
CapStar Bank,,corsair capital llc,2018,,Common Stock,532752,0.0285
CapStar Bank,,corsair capital llc,2018,,Preferred Stock,878048,0.047
CapStar Bank,,corsair capital llc,2018,,Non Voting Common Stock,132561,0.0070999999999999995
CARVER FINANCIAL CORPORATION,Director & Chairman,robert e. james,2015,3190023,Common Stock,285231.7650,0.48
CARVER FINANCIAL CORPORATION,,karlene e. farabee,2015,3190023,Common Stock,57665.0250,0.09699999999999999
CARVER FINANCIAL CORPORATION,Director & Chairman,robert e. james,2016,,Common Stock,285231.7650,0.48
CARVER FINANCIAL CORPORATION,,karlene e. farabee,2016,,Common Stock,57665.0250,0.09699999999999999
CARVER FINANCIAL CORPORATION,Director & Chairman,robert e. james,2017,,Common Stock,285231.7650,0.48
CARVER FINANCIAL CORPORATION,,karlene e. farabee,2017,,Common Stock,57665.0250,0.09699999999999999
CARVER FINANCIAL CORPORATION,Director & Chairman,robert e. james,2020,370833,Common Stock,286243.7650,0.49810000000000004
CARVER FINANCIAL CORPORATION,Director & President,robert e. james,2023,,Common Stock,286243.7650,0.488
"CBA Bankshares,Inc.",Director,"james r. buchanan,jr.",2020,,Common Stock,21740,0.0635
"CBA Bankshares,Inc.",,jennifer p. buford,2020,,Common Stock,39254,0.11460000000000001
"CBA Bankshares,Inc.",,"james r. buchanan,jr.*",2021,,Common Stock,21740,0.0635
"CBA Bankshares,Inc.",,jennifer p. buford,2021,,Common Stock,39254,0.11460000000000001
"CBA Bankshares,Inc.",Director and Chairman,"james r. buchanan,jr.",2016,19936,Common Stock,21740,0.0646
"CBA Bankshares,Inc.",,jennifer p. buford,2016,19936,Common Stock,39254,0.1167
"CBA Bankshares,Inc.",Director and Chairman,"james r. buchanan,jr.",2017,,Common Stock,21740,0.0644
"CBA Bankshares,Inc.",,jennifer p. buford,2017,,Common Stock,39254,0.11630000000000001
CBB Bancorp,Director,dwain montgomery,2016,,Common Stock,44050,0.054900000000000004
CBB Bancorp,Director,larry pogue,2016,,Common Stock,42300,0.0527
CBB Bancorp,Director,dwain montgomery,2019,,Common Stock,44050,0.0579
CBB Bancorp,Director,larry pogue,2019,,Common Stock,47700,0.06269999999999999
CBB Bancorp,Director,dwain montgomery,2020,,Common Stock,44207,0.0623
CBB Bancorp,Director,larry pogue,2020,,Common Stock,47857,0.0675
CBB Bancorp,Director,dwain montgomery,2021,,Common Stock,44347,0.0642
CBB Bancorp,Director,larry pogue,2021,,Common Stock,47997,0.0695
CBB Bancorp,Director,dwain montgomery,2023,,Common Stock,44814,0.065
CBB Bancorp,Director,larry pogue,2023,,Common Stock,48464,0.0703
CBC Holding Company,Director Emeritus,"sidney s. anderson,jr.",2014,,,110301,0.1815
CBC Holding Company,Directory Emeritus (Community Banking Co. of Fitzgerald),"sidney s. anderson,jr.",2014,,,110301,0.1815
CBC HOLDING COMPANY,Director Emeritus,"sidney s. anderson,jr.",2023,,,114368,0.1975
"CBOS Bankshares,Inc.",Director & CEO,william t. taylor,2016,3450530,Individual,35963,0.060899999999999996
