Bank,Internal Title,Person,External Title,Affiliation,Fiscal Year,Occupation,Percentage of Voting Shares,RSSD_ID,Percentage of Voting Shares in Subsidiaries,URL_Bank_Name,Table Presence
"Allegheny Bancshares,Inc.""""","Director,Director(Pendleton Community Bank)""""",Chad G. Branson,n/a,Blakely LLC,2023,Associate Broker,.47%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director(Pendleton Community Bank)""""",Chad G. Branson,n/a,"Crescent Ridge,LLC""""",2023,Associate Broker,.47%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director(Pendleton Community Bank)""""",Chad G. Branson,n/a,LDB LLC,2023,Associate Broker,.47%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director(Pendleton Community Bank)""""",Chad G. Branson,n/a,"Freeman Station,LLC""""",2023,Associate Broker,.47%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director(Pendleton Community Bank)""""",Chad G. Branson,n/a,"Wapiti,LLC""""",2023,Associate Broker,.47%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director(Pendleton Community Bank)""""",Chad G. Branson,n/a,"Leighton Place,LLC""""",2023,Associate Broker,.47%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director & Secretary,Director (Pendleton Community Bank)""""",Roger D. Champ,n/a,Mountainview Berry Farm,2023,Retired,0.77%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Laura S. Evick,n/a,"Evick Properties,LLC""""",2023,Attorney,.07%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Michael W. Lively,n/a,Premier Financial Corp.,2023,Business Owner,0.54%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Michael W. Lively,n/a,"Mason Properties,LLC""""",2023,Business Owner,0.54%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Michael W. Lively,n/a,"Whistle Stop Ice Cream Shop,LLC""""",2023,Business Owner,0.54%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,President and CEO""",Director,"President and CEO (Pendleton Community Bank)"",William A. Loving","Jr."",n/a""",n/a,2023,n/a,0.52%Common,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Dennis E. Wenger,n/a,"Rockingham Rentals,LLC""""",2023,Business Owner,0.14%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Dennis E. Wenger,n/a,"Paragon Properties,LLC""""",2023,Business Owner,0.14%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Dennis E. Wenger,n/a,"Wenger Rentals,LLC""""",2023,Business Owner,0.14%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Dennis E. Wenger,n/a,"Stone Hill Farms,LLC""""",2023,Business Owner,0.14%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Dennis E. Wenger,n/a,"Spectrum Land & Home Services,LLC""""",2023,Business Owner,0.14%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Director,Director (Pendleton Community Bank)""""",Dennis E. Wenger,n/a,"SDJ Group,LLC""""",2023,Business Owner,0.14%,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","Chief Banking Officer,Chief Banking Officer (Pendleton Community Bank)""""",Neil Hayslett,n/a,n/a,2023,n/a,.04% Common,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
"Allegheny Bancshares,Inc.""""","SVP Finance/CFO,SVP Finance/CFO (Pendleton Community Bank)""""",Tammy L. Kesner,n/a,Gourmet Delights Catering,2023,n/a,.01% Common,n/a,n/a,"Allegheny Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",insiders
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Alliance Financial Services, Inc._Y-6_2024-12-31T00_00_00_English",none
Amarillo National Bank,Chairman of the Board & Director,Richard C. Ware II,Board Member,Harrington Foundatior,2023,n/a,12.076%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Chairman of the Board & Director,Richard C. Ware II,Board Member,Engler Foundation,2023,n/a,12.076%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Chairman of the Board & Director,Richard C. Ware II,President,Ware Production Co.,2023,n/a,12.076%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Chairman of the Board & Director,Richard C. Ware II,Trustee,Mary E. Bivins Trust,2023,n/a,12.076%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Chairman of the Board & Director,Richard C. Ware II,Trustee,Ware Foundation,2023,n/a,12.076%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Chairman of the Board & Director,Richard C. Ware II,Partner,"Ware Brothers,LP""""",2023,n/a,12.076%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Chairman of the Board & Director,Richard C. Ware II,Partner,"R2B2,LLC""""",2023,n/a,12.076%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,n/a,Anne-Clayton Ware Vroom,Principal Securities Holder,n/a,2023,Homemaker,13.346%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,"Vice Chairman,Secretary & Director""""",Patrick O'Neill Ware,n/a,n/a,2023,"President,CEO""","& Director"",22.943%""",353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,"President,Asst. Secretatry & Director""""",William James Ware,Member,"Dubs Development,LLC""""",2023,"Secretary-Treasurer,& Director""""",20.987%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Assistant to the Chairman,Benjamin T. Ware III,n/a,n/a,2023,Principal Securities Holder,17.989%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Banking Officer,Mary Savannah Singleton,n/a,n/a,2023,Principal Securities Holder,31.535%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Vice President,William Tol Ware,Member,"Dubs Development,LLC""""",2023,Principal Securities Holder,31.540%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Vice President,William Tol Ware,Investor,"MTAB Enterprises,LLC""""",2023,Principal Securities Holder,31.540%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Director,George Raffkind,n/a,n/a,2023,Retired - Retail,20.141%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Director,Wes Savage,n/a,n/a,2023,n/a,0.004%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Director,Lawrence Pickens,n/a,n/a,2023,Retired - CPA,n/a,n/a,353555,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,Chief Financial Officer,Ross Kerns,n/a,n/a,2023,Banker,n/a,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
Amarillo National Bank,n/a,Paige Ware Spousal Trust No. 2 Trust,n/a,n/a,2023,Principal Securities Holder,10.000%,353555,n/a,"Amarillo National Bancorp, Inc._Y-6_2023-12-31T00_00_00_English",both
"Americo Bancshares,Inc.""""",Director,Edvin Beasley,n/a,n/a,2023,Private Equity RE,n/a,n/a,n/a,"Americo Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Americo Bancshares,Inc.""""",Director,Andrew Meyercord,n/a,n/a,2023,Lawyer,n/a,n/a,n/a,"Americo Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Americo Bancshares,Inc.""""",Director,James Todd Moore,President,Kiowa Gas Company,2023,Oil & Gas Manager,5.14%,n/a,n/a,"Americo Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Americo Bancshares,Inc.""""",Director & Chairman,"John M. Moore,M.D.""""",Owner,John M. Moore MD,2023,Physician,56.90%,n/a,n/a,"Americo Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Americo Bancshares,Inc.""""",Director,James A Nolen Jr.,Partner,6401 DCC Partnership,2023,CFO Consultant / RE Investor,0.09%,n/a,n/a,"Americo Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Americo Bancshares,Inc.""""",Director,Steve McGavock,President,McGavock Inc.,2023,Auto Dealership Management / Partner,0.91%,n/a,n/a,"Americo Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Americo Bancshares,Inc.""""",Secretary,Tracy Riddle,n/a,n/a,2023,Banker,n/a,n/a,n/a,"Americo Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Americo Bancshares,Inc.""""",Director,Loyd Rinehart,n/a,n/a,2023,n/a,0.09%,n/a,n/a,"Americo Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Americo Bancshares,Inc.""""",Director,Robert Shapiro,President,Austin Metal and Iron,2023,RE Investor / Recycling,0.09%,n/a,n/a,"Americo Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Americo Bancshares,Inc.""""",Treasurer,Tom Tebo,n/a,n/a,2023,Banker,n/a,n/a,n/a,"Americo Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Americo Bancshares,Inc.""""",Vice Chairman & Director,E. Powell Thompson,Beneficiary,E Powell Thompson Exempt Trust,2023,Banker,2.06%,n/a,n/a,"Americo Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Americo Bancshares,Inc.""""",Director,Melissa Thoveson,n/a,n/a,2023,N/A,6.46%,n/a,n/a,"Americo Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Cynthia J. Breyman,n/a,n/a,2023,Inv/Educator,8.262%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Principal,"E,D""",Brownlee,"Jr."",n/a""",n/a,2023,Retired,8.127%,n/a,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Principal,Elvin D. Brownlee III Trust,n/a,n/a,2023,HR Consultant,5.445%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Principal,Reo S. Brownlee,n/a,n/a,2023,Oilfield Consultant,2.442%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Trey Duncan,President,"D&J Duncan Family Investments,LLC.""""",2023,Title Examiner Closer,2.177%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Dan Fisher,n/a,"Marvin Dan Fisher,Inc.""""",2023,Rancher/Oil,9.437%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Dan Fisher,n/a,Fisher Rodeo Cattle,2023,Rancher/Oil,9.437%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Dan Fisher,n/a,Fisher Cattle Co. LLC,2023,Rancher/Oil,9.437%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Dan Fisher,n/a,Fisher Minerals,2023,Rancher/Oil,9.437%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Dan Fisher,n/a,"Dan Fisher Management,LLC""""",2023,Rancher/Oil,9.437%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Dan Fisher,n/a,Bullhead Ranch LP,2023,Rancher/Oil,9.437%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Dan Fisher,n/a,Fisher Bar F Ranch LP,2023,Rancher/Oil,9.437%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Dan Fisher,n/a,Hwy 385 SWD LLC,2023,Rancher/Oil,9.437%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Ricky Kidd,n/a,"Heritage Wind River,LLC""""",2023,Builder,7.789%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Ricky Kidd,n/a,"Valiant Wellsite Consultants,LLC""""",2023,Builder,7.789%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",President,Saul Flores,n/a,n/a,2023,Banker,3.274%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Scott Little,Operation Manager,Robertson Resources,2023,Oil Producer,6.533%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Scott Little,Operation Manager,"LSL Investments,Ltd.""""",2023,Oil Producer,6.533%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",n/a,Reliance Trust FBO NBA 401K,n/a,n/a,2023,Principal Securities Holder,11.570%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Debbie Rulestead,n/a,n/a,2023,Banker,1.212%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Chairman of the Board,James Russell Shannon,n/a,PeRu Farms,2023,Banker,3.629%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Chairman of the Board,James Russell Shannon,n/a,PeTo Farms,2023,Banker,3.629%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Robert Stewart,n/a,Stewart Welding,2023,Oilfield Service,1.938%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Robert Stewart,n/a,Stampede Inc.,2023,Oilfield Service,1.938%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Robert Stewart,n/a,Struck by Lightning,2023,Oilfield Service,1.938%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Robert Stewart,n/a,Little Bride Bay,2023,Oilfield Service,1.938%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Robert Stewart,n/a,JEB Cattle Company,2023,Oilfield Service,1.938%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
"Andrews Bancshares,Inc.""""",Director,Robert Stewart,n/a,Emma Mae,2023,Oilfield Service,1.938%,n/a,0.00%,"Andrews Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",both
ARLCO,INC.,n/a,n/a,n/a,2024,n/a,n/a,n/a,n/a,"Arlco, Inc._Y-6_2024-12-31T00_00_00_English",insiders
Arrowhead Company,President & Director,Mary M. Moursund,General Partner,Moursund Limited,2023,Attorney,50.00%,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,President & Director,Mary M. Moursund,Director and Executive Officer,Arrowhead Burbank,Inc,2023,Attorney,50.00%,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,President & Director,Mary M. Moursund,Director and Executive Officer,Arrowhead West Inc,2023,Attorney,50.00%,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,President & Director,Mary M. Moursund,Director and Executive Officer,Moursund Insurance Agency,Inc,2023,Attorney,50.00%,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,President & Director,Mary M. Moursund,Director and Executive Officer,Moursund Law Offices,PC,2023,Attorney,50.00%,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,President & Director,Mary M. Moursund,Director and Executive Officer,Southwest Moursund Corporation,2023,Attorney,50.00%,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,President & Director,Mary M. Moursund,Director and Executive Officer,Rachlander Corporation,2023,Attorney,50.00%,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,President & Director,Mary M. Moursund,Director and Executive Officer,Red-Eyes Stops,Inc,2023,Attorney,50.00%,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,President & Director,Mary M. Moursund,Director and Executive Officer,Mary S Moursund Land & Cattle Company,2023,Attorney,50.00%,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,President & Director,Mary M. Moursund,Director and Executive Officer,Lakeland Investment Corporation,2023,Attorney,50.00%,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Vice-President & Director,Will S Moursund,General Partner,Moursund Limited,2023,Attorney,50.00%,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Vice-President & Director,Will S Moursund,Director and Executive Officer,Arrowhead Burkbank,inc,2023,Attorney,50.00%,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Vice-President & Director,Will S Moursund,Director and Executive Officer,Arrowhead West Inc,2023,Attorney,50.00%,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Vice-President & Director,Will S Moursund,Director and Executive Officer,Moursund Insurance Agency,Inc,2023,Attorney,50.00%,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Vice-President & Director,Will S Moursund,Director and Executive Officer,Moursund Law Offices,PC,2023,Attorney,50.00%,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Vice-President & Director,Will S Moursund,Director and Executive Officer,Southwest Moursund Corporation,2023,Attorney,50.00%,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Vice-President & Director,Will S Moursund,Director and Executive Officer,Rachlander Corporation,2023,Attorney,50.00%,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Vice-President & Director,Will S Moursund,Director and Executive Officer,Red-Eyes Stops,Inc,2023,Attorney,50.00%,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Vice-President & Director,Will S Moursund,Director and Executive Officer,Mary S Moursund Land & Cattle Company,2023,Attorney,50.00%,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Vice-President & Director,Will S Moursund,Director and Executive Officer,Lakeland Investment Corporation,2023,Attorney,50.00%,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Director,Ingrid W Moursund,Vice-President & Director,Arrowhead Land Titles Inc,2023,Attorney,n/a,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Secretary,Patsy Lewis,Advisory Director,n/a,2023,Legal Secretary,n/a,n/a,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Director,Albert W Moursund,IV,Managing Member,Flying Fox Cattle Co,LLC,2023,Rancher,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
Arrowhead Company,Director,Autumn Moursund,VCOB,Vice President,Trust Officer,n/a,2023,Banker,n/a,Arrowhead Company_Y-6_2023-12-31T00_00_00_English,insiders
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"Aspire Bancshares, Inc._Y-6_2023-12-31T00_00_00_English",none
n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Atlantic Union Bankshares Corporation_Y-6_2023-12-31T00_00_00_English,none
BANKWEST FINANCIAL,INC.,CFO,Daniel A Rodelius,n/a,n/a,2024,n/a,n/a,1134872,"BANKWEST Financial, Inc._Y-6_2024-12-31T00_00_00_English",insiders
BANKWEST FINANCIAL,INC.,SECRETARY / CFO,Daniel A Rodelius,n/a,n/a,2024,n/a,n/a,1134872,"BANKWEST Financial, Inc._Y-6_2024-12-31T00_00_00_English",insiders
